system_time_iso,elapsed_s,frame_number,target_id,range_bin,breathing_deviation,heart_rate_raw_bpm,breathing_rate_raw_bpm,heart_rate_filtered_bpm,breathing_rate_filtered_bpm,filter_valid,filter_reason,parser_variant,tlv_length,heart_circular_buffer_json,breath_circular_buffer_json
2026-06-02T15:11:16.692,1.225,32,0,15,0.023053,51.897,0.000,,,0,zero_value_from_firmware,u16_id_range_primary,136,"[0.021628889068961144,0.021628889068961144,0.021628889068961144,0.021628889068961144,0.021628889068961144,0.03249758556485176,0.13555131368339063,0.020370083674788476,-0.347068128362298,-0.2469765517860651,0.566176089271903,0.5247744049876928,-0.17562368251383303,-0.43046816922724246,-0.1873773906379938]","[-0.19750317682822546,-0.19750317682822546,-0.19750317682822546,-0.19750317682822546,-0.19750317682822546,-0.16543460388978323,-0.03379040708144507,0.16609427581230798,0.24827191481987634,0.2839613283673922,0.2597135628263155,0.2097007359067599,0.1544515217343966,0.015597733358542115,-0.15105017771323523]"
2026-06-02T15:11:18.104,2.637,48,0,15,0.044350,50.223,15.067,50.223,15.067,1,ok,u16_id_range_primary,136,"[0.0037378302464882536,0.10481001964459817,-0.003863135663171609,-0.36918505498518545,-0.28091823526968557,0.5298802905405561,0.4915529542292158,-0.1971220321332415,-0.4345802611981829,-0.2345564461623629,0.14087725213418403,0.21770406297097603,0.09213016709933679,0.03487885526070992,-0.09534626671423514]","[-0.028784834593534467,0.1006699550896883,0.29994671531021594,0.38253836818039416,0.4203073877841234,0.3984175819903612,0.3452705044299364,0.29515038914978503,0.15820084996521472,-0.009445081278681752,-0.21138752512633802,-0.4077922206372023,-0.5603312354534864,-0.6048125129193067,-0.5779483418911695]"
2026-06-02T15:11:19.518,4.050,64,0,15,0.064286,50.223,11.719,50.223,13.754,1,ok,u16_id_range_primary,136,"[0.5041516348719597,0.45952581614255905,-0.2562267854809761,-0.4859711304306984,-0.23119915276765823,0.10356348007917404,0.13257002085447311,0.06020645797252655,0.03352268785238266,-0.12828072160482407,-0.3407251313328743,-0.15401143580675125,0.15789099782705307,0.12421067804098129,0.020772583782672882]","[0.6023105323314667,0.549863213300705,0.4905246436595917,0.3521109759807587,0.18791972994804382,-0.012505894899368292,-0.2069507896900177,-0.3588548958301544,-0.403245335817337,-0.37545073628425596,-0.3127719223499298,-0.21866563558578492,-0.14497018456459046,-0.08874643445014954,-0.06056726574897767]"
2026-06-02T15:11:20.934,5.467,80,0,15,0.067135,50.223,10.045,50.223,12.640,1,ok,u16_id_range_primary,136,"[0.14093995143969854,0.15946358491977056,0.1086533968647321,0.08966168810923894,-0.08449754069248835,-0.3040178115169207,-0.11462145994106929,0.19975489427646,0.16702596892913182,0.0665604626139005,0.003519520660241445,-0.09481863627831141,-0.01480707476536433,-0.10450256566206614,-0.2183143789569537]","[0.13184611598650614,-0.062199189265569055,-0.21434338291486105,-0.2586756487687429,-0.23033411701520284,-0.1671621342500051,-0.07238955696423849,0.0014459351698557499,0.05743987957636515,0.08487252990404764,0.0798982838789622,0.09458343784014384,0.1406991938749949,0.19750706950823466,0.21681158343950907]"
2026-06-02T15:11:22.553,7.086,96,0,15,0.067104,70.312,11.719,55.225,12.410,1,ok,u16_id_range_primary,136,"[-0.2958039090037346,-0.1143950268626213,0.210752035677433,0.18507629185914992,0.0725776955485344,0.001525382697582245,-0.09470913261175155,-0.004370462894439697,-0.0993789255619049,-0.21596903055906297,0.027961279451847076,0.40138509422540664,0.17049151211977004,-0.192575041949749,-0.05256776213645935]","[-0.287405397494634,-0.19209399422009785,-0.11797090967496235,-0.06206440528233845,-0.03431495626767475,-0.0406050940354665,-0.025686409076054878,0.02038261691729229,0.07711038390795391,0.09663376609484356,0.09888527194658916,0.10567638675371807,0.09413931171099346,0.09559795657793682,0.17171547214190166]"
2026-06-02T15:11:23.973,8.506,112,0,15,0.076199,50.223,11.719,54.089,12.253,1,ok,u16_id_range_primary,136,"[0.009410200268030166,-0.08398309573531151,0.0007463037967681881,-0.08767110332846642,-0.1986991934478283,0.03422747328877449,0.39498777464032175,0.1726536877453327,-0.17654471322894097,-0.0404420368373394,-0.006749028712511063,-0.25384547039866445,-0.056046413630247115,0.41537375524640086,-0.1234181396663189]","[-0.22884456316630045,-0.2132344643274943,-0.16756621996561685,-0.11159674326578777,-0.09190456072489421,-0.088583509127299,-0.08189253012339275,-0.09326223532358806,-0.09203104178110759,-0.01742390791575114,0.07762142022450765,0.15385552247365317,0.28625210126241046,0.39452560742696124,0.2740851243336995]"
2026-06-02T15:11:25.401,9.934,128,0,15,0.080951,50.223,10.045,53.277,11.789,1,ok,u16_id_range_primary,136,"[0.05498968412478765,0.40949471642573676,0.19130342056353888,-0.15136094043652215,-0.017083693544069925,0.014392841358979544,-0.2314275319377581,-0.03232322285572688,0.43592073371013007,-0.11135224650303523,-0.1871930475036303,0.6778391187389692,0.44862337758143744,-0.7606316621104876,-0.7411915476123492]","[-0.09234190384546916,-0.08566642204920451,-0.09692120949427287,-0.09576416412989298,-0.02188063065210978,0.07233428557713827,0.14704107840855918,0.2811585625012716,0.39005815585454306,0.2707094510396322,0.09596234162648519,-0.0674123207728068,-0.15929580132166543,-0.2908375302950541,-0.3471438924471537]"
2026-06-02T15:11:26.826,11.359,144,0,15,0.073123,50.223,10.045,52.697,11.458,1,ok,u16_id_range_primary,136,"[-0.027984151244163515,-0.27255002558231356,-0.08639285862445831,0.3798619121313095,-0.14276809394359588,-0.22632061839103698,0.6127293914556503,0.40165885388851164,-0.7956887871026993,-0.7806186467409134,0.505454084277153,0.5048592299222946,-0.4706606656312943,-0.15850112736225128,0.5569215029478073]","[0.07575205365816752,0.15147141019503274,0.28334966699282327,0.39188424150149026,0.27391079465548196,0.0994085709253947,-0.0639004369576772,-0.15685447653134665,-0.28889992435773215,-0.34416505297025046,-0.25170823534329734,-0.12123998602231344,-0.020225014289220175,0.001918707291285196,-0.03070231874783834]"
2026-06-02T15:11:28.244,12.777,160,0,15,0.063927,83.705,8.370,52.697,11.458,0,hr_jump_50.22_to_83.71,u16_id_range_primary,136,"[-0.23316549857457478,0.6832788626352946,0.43044859568277993,-0.8009331782658895,-0.7853169997533163,0.5092048684755961,0.5212894121805827,-0.4419994910558065,-0.13127335508664448,0.6609129349390666,0.3688426653544108,-0.6863951047261556,-0.5489092429478963,0.2437346617380778,0.2102808694044749]","[0.06894911328951517,-0.09633996089299521,-0.18942572673161825,-0.3182996114095052,-0.37225135167439777,-0.27839632829030353,-0.1498610575993856,-0.049010117848714195,-0.027195652325948082,0.09737662474314371,0.19782022635142008,0.2759374777475993,0.3230072657267253,0.3024442295233409,0.21524486939112344]"
2026-06-02T15:11:29.658,14.190,176,0,10,0.040939,83.705,8.370,52.697,11.458,0,transient_bin_jump_gating,u16_id_range_primary,136,"[0.08582273920377095,-0.05170496503512065,0.08834538658459981,0.6765712877114614,0.4229336758454641,-0.3591478089491526,-0.8181004742781322,-0.48139365712801613,0.6272840877374013,0.4217999358971914,-0.4049123148123423,-0.14622323910395305,0.28307244976361595,0.11412055095036824,-0.45846765438715614]","[0.0756210078795751,0.16459989448388418,0.17566323180993398,0.13402756949265798,0.12155592342217764,0.11079618235429128,-0.042009891072909034,-0.16420877079168955,-0.21287369827429453,-0.2325808564821879,-0.21511107782522837,-0.15627181629339854,-0.03808295826117197,0.13586288591225942,0.14301237364610037]"
