timestamp_s,frame_number,target_id,range_bin,breathing_deviation,heart_rate_bpm,breathing_rate_bpm,heart_waveform_0,heart_waveform_1,heart_waveform_2,heart_waveform_3,heart_waveform_4,heart_waveform_5,heart_waveform_6,heart_waveform_7,heart_waveform_8,heart_waveform_9,heart_waveform_10,heart_waveform_11,heart_waveform_12,heart_waveform_13,heart_waveform_14,breath_waveform_0,breath_waveform_1,breath_waveform_2,breath_waveform_3,breath_waveform_4,breath_waveform_5,breath_waveform_6,breath_waveform_7,breath_waveform_8,breath_waveform_9,breath_waveform_10,breath_waveform_11,breath_waveform_12,breath_waveform_13,breath_waveform_14
1779441125.451450,16,0,10,0.000909,78.682701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.012810,-0.076545,0.095896,0.341089,-0.063437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032630,-0.114961,-0.155950,-0.018130,0.134284
1779441126.872979,32,0,9,0.027350,61.941700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007872,-0.090286,0.076389,0.296371,0.213435,-0.490552,-1.049537,0.040445,1.676062,0.670158,0.000000,0.000000,0.000000,0.000000,0.000000,-0.025010,-0.121624,-0.199462,-0.127442,0.178162,0.502608,0.569082,0.531407,0.458155,0.258912
1779441128.305302,48,0,14,0.018780,50.223000,18.415100,-0.012785,-0.076486,0.094759,0.342664,-0.062643,-0.694208,-0.281044,0.572518,0.688545,-0.153986,-0.313663,0.029145,-0.649745,-0.245340,0.956650,-0.032538,-0.115135,-0.156434,-0.018945,0.133380,0.298321,0.339398,0.367534,0.361508,0.263972,0.335269,0.349979,0.240236,0.136600,-0.028778
1779441129.753110,64,0,32,0.079242,50.223000,11.718700,-0.445308,-1.061216,0.006119,1.684137,0.662136,-1.042957,-0.376311,-0.273942,-0.664051,0.528474,1.143057,0.267676,-0.404327,-0.464563,-0.662987,0.507712,0.563244,0.522122,0.448369,0.248411,0.155751,0.141274,0.021889,-0.166758,-0.405725,-0.646783,-0.784449,-0.704685,-0.463981,-0.177777
1779441131.191609,80,0,57,0.087974,50.223000,13.392800,-1.040462,-0.378933,-0.279875,-0.662622,0.532188,1.140990,0.265166,-0.403246,-0.459650,-0.649535,-0.387626,0.588092,0.793180,0.205737,-0.001967,0.159543,0.144067,0.023678,-0.165352,-0.404404,-0.645081,-0.782461,-0.706394,-0.461756,-0.173770,0.089895,0.289256,0.344085,0.298386,0.275615
1779441132.678106,96,0,9,0.101774,50.223000,18.415100,0.633837,0.638158,0.047061,-0.365946,-0.640295,-0.467691,0.288522,0.665010,0.355202,0.009934,-0.209686,-0.169610,-0.402772,-0.513719,0.355999,-0.678732,-0.719248,-0.572427,-0.287834,0.040272,0.304465,0.482194,0.509041,0.434358,0.241348,0.110582,0.060768,0.034974,-0.014098,0.076069
1779441134.119115,112,0,13,0.037040,63.615799,10.044600,-0.507707,0.125051,0.480639,-0.022368,-0.260075,-0.015151,-0.057790,-0.020607,0.270670,0.119367,-0.251685,-0.110613,0.091717,0.162230,-0.146237,-0.180110,-0.156729,-0.134224,-0.112024,-0.060824,-0.050194,-0.079201,-0.147522,-0.189643,-0.279172,-0.321272,-0.390675,-0.343115,-0.217535,-0.019773
1779441135.552587,128,0,13,0.044995,60.267601,18.415100,-0.007860,-0.035236,-0.036969,0.194509,0.110288,-0.175155,-0.071286,0.051226,0.128902,-0.139349,-0.249969,-0.057136,0.395042,0.354411,-0.095083,-0.053105,-0.074734,-0.137192,-0.178248,-0.272199,-0.315313,-0.385190,-0.338578,-0.216911,-0.019363,0.129801,0.220977,0.276543,0.300223,0.338684
1779441136.983040,144,0,13,0.057810,75.334503,10.044600,-0.126715,-0.049063,0.024379,0.110080,-0.133773,-0.240302,-0.063547,0.391817,0.360777,-0.087232,-0.352321,-0.262381,0.008321,0.126155,0.275427,-0.311458,-0.381720,-0.335708,-0.216632,-0.019017,0.129961,0.220829,0.276041,0.297503,0.337822,0.337435,0.335066,0.276424,0.205257,0.159090
1779441138.386423,160,0,13,0.108049,65.289902,15.066900,-0.145881,0.555192,0.277029,-0.460832,-0.261036,0.139488,0.034847,0.026067,0.115574,0.169332,-0.002720,-0.254892,-0.358850,0.007126,0.582024,-0.170006,-0.066741,0.066106,0.194788,0.347909,0.445156,0.514524,0.497063,0.443963,0.396871,0.400888,0.396805,0.321369,0.249509,0.224168
1779441139.828348,176,0,13,0.095688,61.941700,6.696400,0.134841,0.049890,0.035819,0.124260,0.164926,-0.030810,-0.266759,-0.350538,0.019632,0.598611,0.256730,-0.488773,-0.331952,0.207512,0.454413,0.455177,0.520516,0.498039,0.444596,0.397548,0.403245,0.399898,0.322901,0.247980,0.220816,0.200233,0.137769,-0.019747,-0.176068,-0.259620
1779441141.314127,192,0,13,0.073085,56.919399,11.718700,-0.053635,-0.267349,-0.337336,0.023303,0.600275,0.260209,-0.498067,-0.341709,0.216417,0.452602,0.036991,-0.399474,-0.209548,0.016959,-0.206579,0.409401,0.406968,0.329613,0.252680,0.224308,0.202992,0.138406,-0.018511,-0.174844,-0.260513,-0.263851,-0.165219,0.079912,0.269320,0.322632
1779441142.741381,208,0,13,0.054801,70.312202,15.066900,0.208954,-0.469275,-0.277240,0.260867,0.475363,0.034712,-0.430530,-0.242546,-0.002841,-0.203676,0.282418,0.952050,-0.038527,-0.993023,-0.205325,0.142048,0.094394,-0.049895,-0.196995,-0.275692,-0.274168,-0.170635,0.078615,0.270674,0.326857,0.344779,0.386809,0.301724,0.157124,-0.016828
1779441144.189159,224,0,13,0.057320,70.312202,15.066900,0.037919,-0.436509,-0.243203,-0.001284,-0.202868,0.287450,0.954028,-0.046348,-1.000254,-0.202245,0.563105,0.127494,-0.517429,-0.008441,0.595815,-0.273548,-0.169360,0.080298,0.271509,0.327058,0.345139,0.388702,0.303681,0.158075,-0.017985,-0.097981,-0.150775,-0.213966,-0.229245,-0.196645
1779441145.614336,240,0,13,0.089803,70.312202,21.763300,0.157677,0.710334,-0.214990,-0.762885,0.207828,0.461707,-0.347247,-0.259191,0.519439,0.324242,-0.150164,-0.453806,-0.515294,-0.075055,0.791970,0.280548,0.272760,0.145862,0.010379,-0.091929,-0.187989,-0.360924,-0.528649,-0.692075,-0.718089,-0.539728,-0.322138,-0.145197,-0.111618,-0.056656
1779441147.064018,256,0,13,0.092483,53.571201,21.763300,0.465869,-0.345886,-0.258052,0.518976,0.317126,-0.152734,-0.449123,-0.510972,-0.076324,0.790282,0.885947,-0.333800,-0.961253,-0.121392,0.254126,-0.186144,-0.360698,-0.528338,-0.692404,-0.718769,-0.540759,-0.323029,-0.145605,-0.110950,-0.054940,0.045797,0.109145,0.170256,0.247186,0.292524
1779441148.505371,272,0,13,0.115612,70.312202,15.066900,-0.150379,-0.450452,-0.513033,-0.075737,0.789925,0.884935,-0.328112,-0.791291,-0.209550,-0.360352,0.145463,1.074035,0.332309,-0.670895,-0.319306,-0.540721,-0.323211,-0.145806,-0.111047,-0.054988,0.046474,0.132587,0.389494,0.556903,0.590525,0.572149,0.509236,0.375978,0.212162,0.034229
1779441149.955459,288,0,13,0.123798,70.312202,16.740999,0.885871,-0.328057,-0.793222,-0.210895,-0.359174,0.147112,1.073950,0.332512,-0.670103,-0.320849,0.078727,-0.084638,-0.071555,0.083426,0.106400,0.046037,0.132453,0.389739,0.557419,0.591306,0.572760,0.509409,0.375722,0.211777,0.033600,-0.111738,-0.224348,-0.292997,-0.449436,-0.563977
1779441151.401274,304,0,13,0.096354,70.312202,8.370500,0.010504,0.234504,0.171732,-0.154935,-0.010810,0.096708,-0.111509,-0.198154,-0.110558,0.031562,0.493203,0.312660,-0.455514,-0.497156,-0.136557,0.347723,0.388272,0.362194,0.291725,0.183326,0.080791,-0.014100,-0.085192,-0.258444,-0.399161,-0.442457,-0.365826,-0.174587,0.050177,0.183662
1779441152.781139,320,0,13,0.074416,70.312202,8.370500,0.099183,-0.117584,-0.201606,-0.010814,0.125305,-0.051009,0.100084,0.304740,-0.027839,-0.540587,-0.257111,0.529530,0.499869,-0.440981,-0.251031,0.081425,-0.013976,-0.084409,-0.095575,-0.107787,-0.133758,-0.114653,-0.018836,0.098486,0.133226,0.084074,0.097068,0.025623,-0.016228,-0.099937
1779441154.269872,336,0,13,0.066389,70.312202,8.370500,-0.049142,0.130852,0.303069,-0.041716,-0.543102,-0.264987,0.524266,0.516793,-0.421107,-0.264386,0.082589,0.104024,0.018915,-0.051699,-0.013339,-0.151907,-0.133263,-0.036221,0.086019,0.125740,0.079557,0.092657,0.022494,-0.019019,-0.102114,-0.183910,-0.228164,-0.252835,-0.225098,-0.194686
1779441155.716803,352,0,13,0.050831,71.986298,8.370500,-0.281461,0.522990,0.539328,-0.403328,-0.281149,0.065611,0.101938,0.019759,-0.041524,-0.002168,-0.028681,0.061327,0.043593,-0.120613,-0.023761,0.091402,0.101044,0.028267,-0.015435,-0.100570,-0.182300,-0.228232,-0.254116,-0.227784,-0.196804,-0.149183,-0.069336,-0.030829,-0.031364,-0.072237
1779441157.146282,368,0,13,0.031982,73.660400,8.370500,0.055197,0.096081,0.026682,-0.018780,0.007176,-0.042090,0.048272,0.038409,-0.129474,-0.016031,0.273683,0.130147,-0.416171,-0.277151,0.305025,-0.167663,-0.217635,-0.246822,-0.223451,-0.192364,-0.144541,-0.059645,-0.020996,-0.024421,-0.075413,-0.066680,-0.034782,-0.027269,0.004310,-0.007945
1779441158.582958,384,0,13,0.022102,71.986298,8.370500,-0.038641,0.128707,0.114943,-0.066880,0.010536,0.239407,0.082240,-0.466438,-0.310074,0.332387,0.230662,0.068763,0.012733,-0.163488,-0.176899,0.006365,0.063067,0.073664,0.046778,-0.026318,-0.030294,-0.004255,-0.002165,0.025604,0.008093,-0.003274,0.004996,-0.004523,-0.008972,-0.052843
1779441160.011554,400,0,13,0.010810,71.986298,15.066900,0.233983,0.082297,-0.458548,-0.308462,0.341519,0.235391,0.065779,0.000247,-0.176273,-0.176039,0.077608,0.190576,-0.116351,-0.238655,0.220263,-0.007495,0.025632,0.031152,0.061674,0.042653,0.029491,0.036153,0.023570,0.015583,-0.033407,-0.039938,-0.048631,-0.084337,-0.249518,-0.318967
1779441161.457635,416,0,13,0.012481,71.986298,16.740999,0.211230,0.063690,0.004798,-0.175001,-0.171353,0.083477,0.193626,-0.122997,-0.242921,0.221261,0.583247,-0.213234,-0.736578,-0.145771,0.400597,0.028320,0.036811,0.025341,0.018825,-0.030569,-0.036844,-0.045495,-0.082287,-0.245723,-0.314347,-0.291037,-0.209553,-0.089527,-0.022082,0.052727
1779441162.873101,432,0,13,0.018927,73.660400,18.415100,0.096127,0.203145,-0.125188,-0.256691,0.202173,0.571810,-0.200699,-0.719921,-0.145934,0.395095,0.419446,0.094542,-0.228253,-0.309162,-0.026508,-0.016419,-0.022227,-0.057449,-0.217166,-0.284736,-0.260561,-0.177974,-0.056171,0.008912,0.082201,0.159069,0.231307,0.281299,0.261011,0.237282
1779441164.317621,448,0,13,0.025560,70.312202,18.415100,0.572150,-0.194006,-0.720762,-0.151530,0.393775,0.423253,0.097206,-0.228907,-0.309960,-0.029217,0.234464,0.066664,-0.161397,-0.080159,0.196066,-0.257649,-0.174931,-0.052694,0.012654,0.085813,0.162558,0.234299,0.284412,0.263996,0.239782,0.218533,0.219857,0.191097,0.177426,0.174314
1779441165.789147,464,0,13,0.043641,63.615799,15.066900,0.383009,0.113496,-0.179034,-0.263063,-0.003524,0.237982,0.043297,-0.200855,-0.105974,0.202790,0.068018,-0.190848,0.129825,0.214156,-0.196020,0.097723,0.186401,0.250336,0.238281,0.220074,0.203986,0.210618,0.186060,0.177276,0.178575,0.130895,0.051840,0.000010,-0.043707,-0.043000
1779441167.203738,480,0,13,0.017801,51.897099,15.066900,0.238960,0.072743,-0.163457,-0.088411,0.202008,0.049368,-0.224514,0.125889,0.242380,-0.191890,-0.233969,0.019675,0.035180,0.140446,0.168496,0.214231,0.217059,0.188633,0.177840,0.178571,0.128436,0.041167,-0.017224,-0.066875,-0.069213,-0.044087,-0.028379,-0.010910,0.019812,0.034552
1779441168.645998,496,0,13,0.062521,71.986298,15.066900,0.134151,-0.299787,0.013202,0.157099,-0.237313,-0.220421,0.081392,0.099350,0.168878,0.160276,-0.104373,-0.014879,-0.146456,-0.499883,-0.101011,-0.061706,-0.113054,-0.136007,-0.153131,-0.126072,-0.076926,-0.040424,-0.006995,0.036477,0.061091,0.110590,0.276795,0.381181,0.325064,0.055116
1779441170.120543,512,0,13,0.092646,56.919399,15.066900,-0.201188,0.088326,0.098240,0.159452,0.149701,-0.106386,-0.011744,-0.143376,-0.499515,-0.096242,0.721764,0.717144,0.149313,-0.595391,-1.262789,-0.101967,-0.067127,-0.035443,0.006516,0.030433,0.079424,0.247317,0.352571,0.298136,0.029325,-0.392525,-0.790302,-0.932663,-0.867211,-0.825779
1779441171.563002,528,0,13,0.115549,55.245300,15.066900,-0.103838,-0.013906,-0.147005,-0.500243,-0.099185,0.718469,0.718870,0.155405,-0.596319,-1.263755,-0.680078,1.266006,1.530214,-0.466196,-1.117180,0.110703,0.277057,0.381328,0.325188,0.055195,-0.368921,-0.767642,-0.912000,-0.848598,-0.808714,-0.796403,-0.573859,-0.257812,0.055231,0.311777
1779441172.961720,544,0,13,0.175205,55.245300,15.066900,0.713641,0.713584,0.153605,-0.585926,-1.247241,-0.696175,1.247448,1.543598,-0.452742,-1.123265,0.023654,0.447022,-0.168058,-0.208716,0.343438,-0.393709,-0.792960,-0.942245,-0.876307,-0.833754,-0.819598,-0.595469,-0.278275,0.035118,0.291697,0.503170,0.660867,0.709616,0.693511,0.672604
